10,10;20,10
7,14;8,15
21,18;22,19
21,17;22,18
16,8;17,9
12,2;13,3
18,12;19,13
20,16;21,17
18,11;19,12
8,19;9,20
17,10;18,11
19,18;20,19
19,19;20,20
8,20;9,21
12,4;13,5
20,18;21,19
14,18;15,19
16,12;17,13
19,16;20,17
12,1;13,2
12,18;13,19
18,16;19,17
19,12;20,13
13,5;14,6
10,18;11,19
13,6;14,7
12,6;13,7
21,19;22,20
11,18;12,19
11,17;12,18
10,2;11,3
11,2;12,3
16,11;17,12
19,15;20,16
11,3;12,4
15,19;16,20
11,20;12,21
13,2;14,3
17,17;18,18
14,9;15,10
10,3;11,4
11,5;12,6
17,11;18,12
6,19;7,20
17,13;18,14
20,15;21,16
13,7;14,8
6,20;7,21
13,18;14,19
13,3;14,4
17,19;18,20
9,19;10,20
13,4;14,5
20,19;21,20
7,18;8,19
18,19;19,20
21,16;22,17
15,9;16,10
12,17;13,18
15,7;16,8
15,18;16,19
16,9;17,10
17,18;18,19
13,1;14,2
9,20;10,21
14,17;15,18
14,5;15,6
19,17;20,18
20,17;21,18
17,15;18,16
19,14;20,15
18,17;19,18
14,3;15,4
15,11;16,12
6,18;7,19
16,10;17,11
14,19;15,20
10,1;11,2
16,7;17,8
17,9;18,10
11,1;12,2
14,8;15,9
14,4;15,5
20,14;21,15
17,14;18,15
7,19;8,20
12,5;16,19
13,8;14,9
15,8;16,9
17,12;18,13
18,18;19,19
19,13;20,14
18,13;19,14
11,19;12,20
12,7;13,8
15,5;16,6
10,20;11,21
16,18;17,19
13,19;14,20
15,10;16,11
16,17;17,18
14,6;15,7
12,19;13,20
7,20;8,21
11,4;12,5
15,6;16,7
18,15;19,16
10,19;11,20
15,17;16,18
8,18;9,19
8,18;9,19
13,17;14,18
12,3;13,4
9,18;10,19
16,13;17,14
14,2;15,3
18,14;19,15
-1
